t,bead x,bead y,bead z,focus1,focus2
 314.1955, 0.0026,-0.0096, 0.4930,1.63209613496,1.46349149842
 314.4397, 0.0026,-0.0096, 0.4930,1.64270802732,1.46716075258
 314.7168, 0.0026,-0.0096, 0.4930,1.63341772889,1.46378376648
 314.8085, 0.0026,-0.0096, 0.4930,1.6384082932,1.4640649892
 314.9504, 0.0026,-0.0096, 0.4930,1.62457728512,1.45567740669
 315.2227, 0.0026,-0.0096, 0.4930,1.63952790732,1.46627405078
 315.4613, 0.0026,-0.0096, 0.4930,1.63226850392,1.46659025338
 315.7485, 0.0026,-0.0096, 0.4930,1.62993195264,1.45780370141
 316.0014, 0.0026,-0.0101, 0.4930,1.63039985934,1.46263388141
 316.2574, 0.0026,-0.0101, 0.4930,1.63703914275,1.46310583538
 316.5105, 0.0026,-0.0101, 0.4930,1.63773022127,1.46968725028
 316.7437, 0.0026,-0.0101, 0.4930,1.63234377946,1.46890839639
 317.0112, 0.0026,-0.0101, 0.4930,1.63864445021,1.47119245282
 317.2798, 0.0026,-0.0101, 0.4930,1.63098023298,1.46992078845
 317.5263, 0.0026,-0.0101, 0.4930,1.62875987793,1.47007892513
 317.7900, 0.0026,-0.0101, 0.4930,1.63317095451,1.46874724704
